,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms
13,Two Door Cinema Club,What You Know,1qfYG2JrchEyJiqKnkE7YQ,0.55,0.753,6,-4.003,0,0.0407,7.74e-06,0.0921,0.841,139.048,189693
14,Lucenzo,Danza Kuduro (feat. Don Omar),2gIwPaocbvc5eHqnACgV3Z,0.622,0.942,7,-6.365,1,0.112,0,0.0715,0.773,130.003,213987
15,Taylor Swift,Today Was A Fairytale,4pFvEWbjBpPUdYRQly0THs,0.491,0.703,7,-4.5,1,0.0319,5.72e-06,0.167,0.344,157.988,242480
16,Cali Swag District,Teach Me How to Dougie,61LtVmmkGr8P9I2tSPvdpf,0.846,0.438,11,-4.981,1,0.141,9.43e-05,0.0939,0.512,85.013,237480
17,Sara Bareilles,King of Anything,3VA8T3rNy5V24AXxNK5u9E,0.676,0.762,1,-4.172,1,0.0351,0,0.0574,0.81,119.003,207493
18,The Band Perry,If I Die Young,4aY0tZIaboefmkBEsjAovI,0.606,0.497,4,-6.611,1,0.0277,0,0.275,0.362,130.739,222773
19,Lil Wayne,Right Above It,1kMuU3TNQvHbqvXCWBodmP,0.376,0.841,3,-4.348,0,0.356,0,0.578,0.463,76.052,271947
20,Usher,Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,0.59,0.698,11,-4.262,1,0.0286,0,0.107,0.352,95.975,224093
21,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",75FT1IPlCYCs5DAYbR9mjE,0.544,0.781,10,-3.616,1,0.189,0,0.161,0.277,150.1,232507
22,3OH!3,My First Kiss (feat. Ke$ha),17tDv8WA8IhqE8qzuQn707,0.682,0.889,0,-4.166,1,0.0804,0,0.36,0.827,138.021,192440
23,Shontelle,Impossible - Main,45EDI3rk0f4cAMt9f8b56R,0.599,0.624,8,-3.631,1,0.0343,0,0.125,0.539,90.034,226533
24,Chris Brown,Deuces (feat. Tyga & Kevin McCall),6wN4nT2qy3MQc098yL3Eu9,0.692,0.736,1,-5.109,1,0.11,0,0.0787,0.217,73.987,276560
25,B.o.B,Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,0.549,0.932,8,-4.11,0,0.343,0,0.347,0.787,82.439,196133
26,Maroon 5,Misery,0RZyUsKfiC7MtiGKatCtGc,0.703,0.81,4,-4.874,0,0.0424,0,0.216,0.726,102.978,216200
27,Drake,Over,1EoHEkVcysf4WVDx6r9WzQ,0.325,0.848,7,-5.611,1,0.279,0,0.124,0.433,100.093,233560
28,Kesha,Take It Off,0WCiI0ddWiu5F2kSHgfw5S,0.729,0.675,5,-5.292,0,0.0286,0.00126,0.0867,0.74,125.036,215200
29,Ludacris,My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,0.624,0.723,1,-6.782,1,0.378,0,0.483,0.757,84.789,216933
30,Jay Sean,Do You Remember,7yws3pF3FFguwT2Psi6c15,0.855,0.668,11,-4.892,1,0.0644,0,0.102,0.803,125.846,210307
31,Rihanna,Hard,3YJkAQNEhmCZGLdmPsu6Ye,0.31,0.746,1,-3.599,1,0.111,0,0.649,0.163,182.032,250600
32,Kris Allen,Live Like We're Dying,1HfxPaJggVwFsvOtHbVzMz,0.589,0.893,0,-2.948,1,0.0397,0,0.343,0.94,92.011,212507
33,Taylor Swift,Mine,67Io3gxHwfbUreBf114c0u,0.621,0.78,7,-2.934,1,0.0297,4.55e-06,0.184,0.672,121.038,230773
34,Adam Lambert,Whataya Want from Me,0zv9bOC2NSMd3Fw2HgM5Xn,0.438,0.672,11,-4.706,0,0.0429,0,0.0583,0.457,185.934,227320
35,Kesha,Blah Blah Blah (feat. 3OH!3),7lWUJpax919G4JdaFEVmCy,0.752,0.836,10,-3.173,1,0.115,0.000425,0.424,0.519,120.003,172053
36,Jason Derulo,Whatcha Say,7xkQdy0cy5ymoWT7nedvLz,0.615,0.711,11,-5.507,1,0.0779,0,0.145,0.711,144.036,221253
37,Ludacris,How Low,1WtTLtofvcjQM3sXSMkDdX,0.785,0.498,1,-6.977,1,0.0533,1.23e-06,0.224,0.418,143.96,201587
38,Drake,Find Your Love,18PSaTJMLkFNWnW0NWdOAW,0.625,0.613,6,-6.005,0,0.173,0,0.0286,0.738,96.033,208947
39,Trey Songz,Say Aah (feat. Fabolous),1wkGTsSqUhvvXgi0yX9haQ,0.724,0.87,1,-3.614,0,0.113,0,0.833,0.81,93.01,207547
40,David Guetta,Sexy Bitch (feat. Akon),127uq83uGFapbddqiMUKky,0.813,0.627,11,-5.018,0,0.0486,0.000616,0.131,0.801,130.011,195853
41,Black Eyed Peas,Imma Be,16sbugRbf9xEKlekuQ7Whm,0.597,0.517,0,-6.963,1,0.365,0,0.307,0.412,92.035,257560
42,Kesha,Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,0.826,0.612,1,-3.891,1,0.0982,0,0.0889,0.756,120.057,187133
43,Taio Cruz,Break Your Heart,7ElF5zxOwYP4qVSWVvse3W,0.607,0.934,3,-4.217,1,0.0314,0,0.0909,0.568,122.01,201547
44,JAY-Z,Young Forever,35srNkJVToAzYiZzron1FY,0.637,0.69,9,-3.214,0,0.0693,0,0.211,0.103,140.329,253907
45,Sean Kingston,Eenie Meenie,4vVTI94F9uJ8lHNDWKv0i2,0.72,0.607,1,-4.168,1,0.0322,0,0.113,0.828,121.223,201947
46,David Guetta,Memories (feat. Kid Cudi),5xYC48nOppVemY6U5GRGTb,0.546,0.916,8,-3.931,1,0.255,4e-06,0.251,0.38,129.986,210853
47,Rihanna,Te Amo,4YYHgF9dWyVSor0GtrBzdf,0.567,0.707,8,-5.455,0,0.0818,0.000176,0.1,0.751,171.917,208427
48,INNA,Hot,1v3dEPdA20e4ZhT1uQBeN4,0.816,0.94,7,-6.079,0,0.28,0.444,0.431,0.596,128.0,217037
49,The Saturdays,Higher,0QVAlchLCx15ZLSoR9Wg1B,0.639,0.862,10,-3.292,1,0.0341,6.81e-06,0.264,0.596,117.011,207613
50,Timbaland,Carry Out (Featuring Justin Timberlake),2DHc2e5bBn4UzY0ENVFrUl,0.531,0.574,10,-6.693,0,0.113,0.0308,0.256,0.272,115.68,232467
51,Kelly Rowland,Commander,3nIrIytGbcXAK7huhwiXiW,0.395,0.876,11,-3.859,0,0.138,8.46e-06,0.362,0.567,124.638,218107
52,JAY-Z,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,1,0.392,0,0.46,0.811,173.585,276920
53,Young Money,BedRock,3iL2l5gUqyPS6vDwJFgJTR,0.733,0.664,8,-6.163,1,0.295,0,0.191,0.557,148.005,288133
54,Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,7gWSWDBriMK7YKefAe4NMP,0.736,0.929,7,-5.89,0,0.0674,1.11e-05,0.402,0.658,125.03,206461
55,Black Eyed Peas,I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,0.743,0.766,0,-6.375,1,0.0265,0,0.509,0.61,127.96,289133
56,Ne-Yo,Beautiful Monster,2Q99zPXVqCPN5RaZawvJWZ,0.708,0.771,5,-6.99,0,0.131,5.32e-06,0.277,0.494,128.013,251573
57,Alicia Keys,Try Sleeping with a Broken Heart,1yK9LISg5uBOOW5bT2Wm0i,0.496,0.82,5,-5.155,1,0.112,0.246,0.13,0.549,110.977,249013
58,Duck Sauce,Barbra Streisand - Radio Edit,0XvjOhwCnXXFOSlBbV9jPN,0.769,0.922,1,-1.966,1,0.108,0.197,0.233,0.506,127.965,196533
59,David Guetta,Gettin' Over You (feat. Fergie & LMFAO),0V7QchMrfTCk3gf0iAtl2R,0.616,0.913,10,-5.077,0,0.0815,0,0.0773,0.451,129.944,188000
60,Swedish House Mafia,One (Your Name) - Radio Edit,1qZMPmpD1jDcOA7gZ6TCde,0.733,0.673,9,-6.572,0,0.0333,0.0049,0.16,0.636,125.061,163247
61,Enrique Iglesias,I Like It,7HacCTm33hZYYN8DXpCYuG,0.648,0.942,10,-2.881,0,0.0878,0,0.0594,0.73,129.007,231373
62,Justin Bieber,Baby,6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0,0.111,0.535,65.043,214240
63,Lady Gaga,Alejandro,1HHeOs6zRdF8Ck58easiAY,0.623,0.793,11,-6.63,0,0.0462,0.0015,0.375,0.36,98.998,274213
64,B.o.B,Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,0.688,0.853,10,-5.814,1,0.0493,0,0.0862,0.743,103.993,268320
65,Example,Kickstarts,07WEDHF2YwVgYuBugi2ECO,0.61,0.836,5,-4.455,1,0.0573,0,0.358,0.657,126.059,181827
66,K'NAAN,Wavin' Flag,0zREtnLmVnt8KUJZZbSdla,0.625,0.699,0,-6.416,1,0.0729,0,0.238,0.717,75.974,220520
67,Ellie Goulding,Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,0.504,0.814,5,-5.346,0,0.0389,1.42e-05,0.324,0.596,149.967,176613
68,Scouting For Girls,This Ain't a Love Song,2tNE4DP5nL85XUJv1glO0a,0.458,0.905,0,-4.157,1,0.0452,0,0.378,0.552,176.659,210680
69,Jason Derulo,In My Head,6St9lR6dhV2tpCNVz7qfrS,0.762,0.748,0,-4.15,0,0.033,0,0.348,0.851,110.009,199027
70,Sidney Samson,Riverside,6FZQH0HlMULVggaqjyQBqT,0.804,0.976,1,-2.458,0,0.0445,0.894,0.125,0.237,125.997,320348
71,Timbaland,If We Ever Meet Again (Featuring Katy Perry),360UM2DaiHZPRu0EsrOvMp,0.652,0.605,8,-7.371,1,0.0393,0,0.0605,0.394,126.091,292707
72,Take That,The Flood,2a3U3GTCvrcma7wetBtOpi,0.514,0.83,11,-6.077,0,0.044,1.43e-06,0.122,0.138,100.631,289360
73,Eminem,Not Afraid,7Ie9W94M7OjPoZVV216Xus,0.855,0.954,0,-1.19,0,0.264,0,0.205,0.668,114.635,248133
74,Mike Posner,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,7,-4.63,0,0.0475,0,0.704,0.625,129.969,213293
75,3OH!3,Starstrukk,1CuzzAbJ4q28V5JOLCzQVp,0.605,0.795,11,-6.086,0,0.0712,0,0.207,0.263,139.896,203093
76,Eliza Doolittle,Pack Up,2FAQ859VwORxzRE0JnWn7d,0.672,0.809,11,-5.704,1,0.0595,0,0.336,0.88,133.036,191027
77,Travie McCoy,Billionaire (feat. Bruno Mars),2M9ULmQwTaTGmAdXaXpfz5,0.633,0.673,6,-6.403,0,0.258,0,0.206,0.659,86.776,211160
78,Jason Derulo,Ridin' Solo,6OEolOOk9Gh9bqkdpfIOl0,0.442,0.83,9,-4.02,1,0.146,0,0.129,0.578,89.338,215747
79,Ellie Goulding,Your Song - Bonus Track,1a9hBnJodCsNcp0HoJAObp,0.547,0.197,10,-12.002,1,0.0303,0.000756,0.144,0.402,133.85,191827
80,Flo Rida,Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,0.616,0.869,0,-3.911,1,0.0327,0,0.064,0.473,127.966,234560
81,Katy Perry,Firework,1mXuMM6zjPgjL4asbBsgnt,0.638,0.832,8,-5.039,1,0.049,0,0.113,0.648,124.071,227893
82,Iyaz,Replay,4E5P1XyAFtrjpiIxkydly4,0.706,0.751,9,-6.323,1,0.0708,0,0.168,0.195,91.031,182307
83,Plan B,She Said,5kVU4z9zL3M7w7EVhBBbEF,0.72,0.538,3,-5.85,0,0.141,3.03e-06,0.144,0.815,147.007,208853
84,Lady Gaga,Telephone,4TCL0qqKyqsMZml0G3M9IM,0.824,0.836,3,-5.903,1,0.0404,0.000817,0.112,0.716,122.014,220640
85,Rihanna,Rude Boy,60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0.127,0,0.0788,0.812,173.906,222920
86,Alicia Keys,Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,0.479,0.368,6,-7.784,1,0.0341,4.1e-05,0.118,0.142,92.959,216480
87,Tinie Tempah,Pass Out,2i5gkqfLxlCM902kgZVb6v,0.693,0.891,1,-3.261,1,0.296,0,0.143,0.532,91.1,268053
88,Yolanda Be Cool,We No Speak Americano - JT Radio Edit,392zwJVuiuhDZC3ShNmLkD,0.902,0.805,6,-5.005,1,0.0464,0.082,0.0916,0.737,124.996,157438
89,Katy Perry,California Gurls,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0,0.163,0.425,125.014,234653
90,B.o.B,Airplanes (feat. Hayley Williams),6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,0,0.116,0,0.0368,0.377,93.033,180480
91,Usher,OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,0.781,0.745,4,-5.81,0,0.0332,1.14e-05,0.36,0.326,129.998,269493
92,Matt Cardle,When We Collide,6FSxwdN08PvzimGApFjRnY,0.443,0.683,2,-5.521,1,0.0343,5.26e-06,0.313,0.447,81.986,226000
93,Neon Trees,Animal,0l4DTppOxy7NUaEcwXuOb6,0.482,0.829,5,-5.576,1,0.0437,0,0.378,0.739,147.99,212307
94,Katy Perry,Teenage Dream,235LXPXfi0SmOaS9TaCh3c,0.719,0.798,10,-4.582,1,0.0361,2.34e-06,0.134,0.591,120.011,227741
95,Far East Movement,Like A G6,5AyL2kgLtTWEu3qO3B9SqK,0.435,0.837,3,-8.126,1,0.449,0,0.117,0.778,124.913,216893
96,The Script,For the First Time,49kjlZP49LMD1MrrcvXDET,0.393,0.633,9,-4.769,1,0.0275,0,0.104,0.382,174.022,252440
97,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0.109,0,0.082,0.654,119.963,220800
98,Trey Songz,Bottoms Up (feat. Nicki Minaj),2IpGdrWvIZipmaxo1YRxw5,0.845,0.601,1,-5.283,1,0.161,0,0.385,0.329,74.008,242013
99,Tinie Tempah,Written in the Stars (feat. Eric Turner),5m5TRf7ggoguXtcXQGprN4,0.656,0.931,7,-4.188,1,0.0981,0,0.219,0.534,91.881,207653
0,Gotye,Somebody That I Used To Know,13b3kZAjZGltp76ed4u1m3,0.863,0.527,0,-6.896,1,0.0358,0.000168,0.107,0.674,129.054,244885
1,Carly Rae Jepsen,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,2.28e-06,0.108,0.66,120.021,193400
2,fun.,We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,0.378,0.638,10,-5.576,1,0.075,7.66e-05,0.0849,0.735,184.086,250627
3,Rihanna,We Found Love,0U10zFw4GlBacOy9VDGfGL,0.735,0.766,1,-4.485,1,0.0383,0.00138,0.108,0.6,127.985,215227
4,Adele,Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,0.603,0.67,2,-3.882,0,0.0249,1.66e-06,0.112,0.445,107.995,242974
5,Skrillex,Bangarang (feat. Sirah),6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,7,-2.302,1,0.196,3.22e-05,0.317,0.576,110.026,215253
6,Lorde,Royals,2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7,-9.504,1,0.122,0.0,0.132,0.337,84.878,190185
7,Kesha,Die Young,7EQGXaVSyEDsCWKmUcfpLk,0.711,0.7,1,-4.805,0,0.046,0.000125,0.215,0.801,128.001,211920
8,Passenger,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,0.509,0.538,7,-7.335,1,0.0572,0.0,0.104,0.244,75.089,252867
9,Icona Pop,I Love It,27ilMN1oiW9849fReEYgOj,0.71,0.901,1,-2.686,1,0.0296,1.34e-05,0.172,0.86,125.953,156773
10,The Wanted,Chasing The Sun,4b4c0oH7PtrPsI86drzgFs,0.636,0.732,7,-6.209,0,0.0962,0.0,0.498,0.679,128.11,198800
11,Imagine Dragons,On Top Of The World,213x4gsFDm04hSqIUkg88w,0.631,0.924,0,-5.589,1,0.146,3.59e-06,0.084,0.755,100.045,192280
12,The Lumineers,Ho Hey,1K3LRUEcUz5FMtPYyg0F45,0.682,0.471,0,-9.182,1,0.0301,0.0,0.0908,0.421,79.907,163133
13,Maroon 5,Payphone,1XGmzt0PVuFgQYYnV2It7A,0.743,0.752,4,-4.813,1,0.0414,0.0,0.287,0.545,110.015,231173
14,Rihanna,Diamonds,6O20JhBJPePEkBdrB5sqRx,0.564,0.71,11,-4.92,0,0.0461,0.0,0.109,0.393,91.972,225147
15,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),3AYcyxEACnmE6d96RPubID,0.781,0.526,6,-6.985,0,0.293,0.0,0.0457,0.662,94.992,235613
16,P!nk,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.000302,0.132,0.441,95.002,242733
17,Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.0,0.309,0.867,143.994,233478
18,Imagine Dragons,Radioactive,62yJjFtgkhUrXktIoSjgP2,0.448,0.784,9,-3.686,1,0.0627,0.000108,0.668,0.236,136.245,186813
19,John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560
20,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0,0.0862,0.847,146.078,258343
21,DEV,In The Dark,4QCVvLRNP45j83odN8Gzml,0.736,0.824,8,-4.231,1,0.0672,0.000921,0.329,0.443,124.954,226227
22,Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.0,0.088,0.387,72.795,213827
23,Linkin Park,BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9,-4.45,0,0.0534,0.0,0.0707,0.585,110.006,230253
24,Christina Perri,A Thousand Years,6z5Yh7kOKeLjqIsNdokIpU,0.421,0.407,10,-7.445,1,0.0267,0.000961,0.11,0.161,139.028,285120
25,Train,50 Ways to Say Goodbye,2NniAhAtkRACaMeYt48xlD,0.591,0.935,6,-2.664,1,0.0478,0.000278,0.142,0.736,140.043,247947
26,B.o.B,So Good,28GUjBGqZVcAV4PHSYzkj2,0.66,0.9,7,-5.02,1,0.14,0.0,0.219,0.591,85.51,213253
27,Trey Songz,Heart Attack,25CA8QVJQrh5R05UUCaODM,0.608,0.863,11,-4.87,1,0.131,0.0,0.228,0.476,150.029,233147
28,Wiz Khalifa,"Work Hard, Play Hard",1ms5tNNdPouTtcD2oVF9Oz,0.787,0.666,11,-4.475,1,0.0485,1.91e-05,0.296,0.485,140.008,219027
29,Usher,Climax,5pyVqlqThcxI7tPDjHIzPh,0.647,0.478,8,-8.837,1,0.0782,2.69e-05,0.156,0.333,135.877,232907
30,Coldplay,Paradise,6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5,-6.762,1,0.0268,8.49e-05,0.0833,0.203,139.627,278719
31,Adele,Rumour Has It,50yHVBbU6M4iIfqBI1bxWx,0.612,0.748,0,-5.014,1,0.0445,0.0,0.167,0.574,120.052,223267
32,Gavin DeGraw,Not Over You,6j7hih15xG2cdYwIJnQXsq,0.63,0.894,10,-4.592,1,0.0544,0.0,0.181,0.364,142.051,218520
33,Karmin,Brokenhearted,4urcG6Nfubqsuqy3juMjBi,0.765,0.765,1,-2.732,0,0.0585,3.82e-06,0.0527,0.886,120.001,227147
34,Cher Lloyd,Want U Back,5InWRmnfgjVwQWoXHNBATu,0.696,0.893,9,-2.963,1,0.076,0.0,0.473,0.573,97.954,214013
35,Gym Class Heroes,Ass Back Home (feat. Neon Hitch),3bfqkspKABT4pPicm6wC9F,0.716,0.838,10,-4.289,1,0.0513,0.0,0.148,0.646,130.034,222213
36,David Guetta,Without You (feat. Usher),3UN6cIn3VIyg0z1LCuFSum,0.608,0.614,2,-3.727,1,0.0285,4.06e-06,0.157,0.402,127.884,208133
37,Tyga,Rack City,21nFIDqoD1L7ELsprVSzOR,0.929,0.339,1,-10.881,1,0.371,1.96e-05,0.187,0.273,98.986,203200
38,Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.00703,0.204,0.919,127.937,206413
39,Katy Perry,The One That Got Away,3oL3XRtkP1WVbMxf7dtTdu,0.687,0.792,1,-4.023,0,0.0353,0.0,0.2,0.864,133.962,227333
40,Demi Lovato,Give Your Heart a Break,3sP3c86WFjOzHHnbhhZcLA,0.651,0.695,6,-3.218,1,0.0487,0.0,0.144,0.569,123.008,205347
41,Justin Bieber,As Long As You Love Me,0pwYLVXVknPSGUQb39cePC,0.571,0.873,0,-3.382,0,0.1,0.0,0.361,0.613,139.691,229467
42,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",5HQVUIKwCEXpe7JIHyY734,0.715,0.655,0,-6.425,1,0.137,0.0,0.115,0.531,95.078,207333
43,Kanye West,Mercy,4qikXelSRKvoCqFcHLB2H2,0.563,0.496,6,-9.381,0,0.406,5.8e-05,0.173,0.426,139.993,329320
44,Bruno Mars,It Will Rain,0M3HkE321xpCbCYqVKzr1q,0.576,0.835,2,-6.826,1,0.0486,0.0,0.082,0.476,150.017,257720
45,Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,1,0.0586,0.0,0.313,0.725,154.961,177280
46,Rihanna,Stay,0GNI8K3VATWBABQFAzBAYe,0.621,0.31,9,-10.164,0,0.0283,6.12e-05,0.117,0.125,111.893,240707
47,Disclosure,Latch,51ODNNDZm21HU7wI7cccRr,0.503,0.727,1,-5.456,1,0.167,9.45e-05,0.0895,0.521,121.985,255632
48,Drake,The Motto,4Kz4RdRCceaA9VgTqBhBfa,0.766,0.442,1,-8.558,1,0.356,6.12e-05,0.111,0.39,201.8,181573
49,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400
50,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,0.706,0.89,1,-4.444,0,0.0688,0.00286,0.306,0.684,128.011,248133
51,LMFAO,Sexy And I Know It,70Vdd1gx5tn84jkAU31ASv,0.707,0.861,7,-4.225,1,0.316,0.0,0.191,0.795,130.021,199480
52,One Direction,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,0.726,0.787,4,-2.494,1,0.0737,0.0,0.0596,0.888,124.99,199987
53,The Wanted,Glad You Came,5yDL13y5giogKs2fSNf7sj,0.722,0.851,7,-3.873,0,0.0639,0.0,0.108,0.452,126.885,197936
54,Ellie Goulding,Lights - Single Version,5aTsxlQlq0vIedDWZoqMWN,0.682,0.795,8,-6.17,0,0.0367,0.0391,0.131,0.78,120.008,210853
55,Katy Perry,Wide Awake,5JLv62qFIS1DR3zGEcApRt,0.514,0.683,5,-5.099,1,0.0367,2.64e-06,0.392,0.575,159.814,220947
56,Lana Del Rey,Born To Die,2wMby9pciuGUIP8q7y4Yn6,0.18,0.636,4,-6.591,0,0.0439,0.000133,0.217,0.39,75.223,286253
57,David Guetta,She Wolf (Falling to Pieces) [feat. Sia],1SgdUjvppHnIp6L7DZSnwc,0.492,0.857,7,-2.634,1,0.0655,7.82e-06,0.344,0.393,129.973,222500
58,One Direction,Live While We're Young,6aGjEZ7kq3YXgD0EDt80O5,0.658,0.837,2,-2.063,1,0.0543,0.0,0.0969,0.936,126.015,200187
59,Justin Bieber,Boyfriend,2L7rZWg9RLxIwnysmxm4xk,0.717,0.55,10,-6.019,0,0.0519,0.00198,0.126,0.331,96.979,171333
60,P!nk,Blow Me (One Last Kiss),4k80K0b6KZ2QjAYkXON7q6,0.597,0.919,7,-2.954,1,0.044,0.0,0.282,0.73,113.987,255587
61,Usher,Scream,12eMQUn2GzfsfsQLH53M19,0.616,0.862,7,-5.18,0,0.0973,0.0,0.179,0.569,127.992,234693
62,Pitbull,International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,0.669,0.855,0,-3.035,0,0.0499,0.0,0.335,0.648,120.045,227280
63,Lana Del Rey,Video Games - Remastered,7FDHI71Z3IInsEKuUn7Df8,0.39,0.255,6,-9.676,0,0.0299,1.14e-06,0.0887,0.179,122.056,281947
64,Chris Brown,Turn Up the Music,1RMRkCn07y2xtBip9DzwmC,0.594,0.841,1,-5.792,1,0.102,2.22e-06,0.156,0.643,129.925,227973
65,Owl City,Good Time,1kPpge9JDLpcj15qgrPbYX,0.56,0.872,3,-4.269,1,0.14,6.98e-06,0.371,0.682,126.05,205933
66,Drake,Take Care,124NFj84ppZ5pAxTuVQYCQ,0.629,0.515,0,-10.358,0,0.265,1.22e-05,0.0888,0.299,121.845,277387
67,Calvin Harris,Let's Go (feat. Ne-Yo),4wkQmYpAaMe41Rc3sYZ7Vz,0.71,0.882,4,-2.932,0,0.0595,0.00771,0.294,0.875,128.016,232800
68,One Direction,Little Things,7kSLdGdXLey7pzLsWpdg1h,0.707,0.222,7,-11.716,1,0.0329,0.0,0.205,0.556,110.095,219640
69,Nicki Minaj,Pound The Alarm,5kcE7pp02ezLZaUbbMv3Iq,0.728,0.858,9,-3.686,1,0.0609,4.09e-06,0.0241,0.591,125.055,205640
